primary_key,key_value,column_name,old_value,new_value,modified_at
mec_id,100,reseller_name,mauricio luna,Fotografiska Stockholm AB,2024-12-17 08:52:23
mec_id,1000,reseller_name,mauricio luna,Fotografiska Stockholm AB,2024-12-17 08:52:23
mec_id,1001,reseller_name,mauricio luna,Fotografiska Stockholm AB,2024-12-17 08:52:23
mec_id,10015,reseller_name,mauricio luna,Fotografiska Stockholm AB,2024-12-17 08:52:23
mec_id,10018,reseller_name,mauricio luna,Fotografiska Stockholm AB,2024-12-17 08:52:23
mec_id,10024,reseller_name,mauricio luna,Fotografiska Stockholm AB,2024-12-17 08:52:23
mec_id,1003,reseller_name,mauricio luna,Fotografiska Stockholm AB,2024-12-17 08:52:23
mec_id,1004,reseller_name,mauricio luna,Fotografiska Stockholm AB,2024-12-17 08:52:23
mec_id,101,reseller_name,mauricio luna,Fotografiska Stockholm AB,2024-12-17 08:52:23
mec_id,102,reseller_name,mauricio luna,Fotografiska Stockholm AB,2024-12-17 08:52:23
mec_id,10225,reseller_name,mauricio luna,Fotografiska Stockholm AB,2024-12-17 08:52:23
mec_id,10228,reseller_name,mauricio luna,Fotografiska Stockholm AB,2024-12-17 08:52:23
mec_id,10231,reseller_name,mauricio luna,Fotografiska Stockholm AB,2024-12-17 08:52:23
mec_id,10384,reseller_name,mauricio luna,Fotografiska Stockholm AB,2024-12-17 08:52:23
mec_id,10387,reseller_name,mauricio luna,Fotografiska Stockholm AB,2024-12-17 08:52:23
mec_id,1039,reseller_name,mauricio luna,Fotografiska Stockholm AB,2024-12-17 08:52:23
mec_id,10390,reseller_name,mauricio luna,Fotografiska Stockholm AB,2024-12-17 08:52:23
mec_id,1040,longDesc,"<p>Enter the wonderful world of the automatically playing instruments and be surprised by the happy music.</p>
<p>Enter the wonderful world of the automatically playing instruments and be surprised by the happy music. By doing and listening you will learn more about the stories behind the instruments: from the little music box to the biggest dance and fairground organs. Hear the instruments playing live during the musical tour which takes place every hour or go exploring on your own in the Museum Expedition. You will experience it in Museum Speelklok: the most fun museum of the Netherlands.</p>",<p>Enter the wonderful world of the automatically playing instruments and be surprised by the happy music.</p>\n<p>Enter the wonderful world of the automatically playing instruments and be surprised by the happy music. By doing and listening you will learn more about the stories behind the instruments: from the little music box to the biggest dance and fairground organs. Hear the instruments playing live during the musical tour which takes place every hour or go exploring on your own in the Museum Expedition. You will experience it in Museum Speelklok: the most fun museum of the Netherlands.</p>,2024-12-17 08:52:23
mec_id,1040,reseller_name,mauricio luna,Fotografiska Stockholm AB,2024-12-17 08:52:23
