Vistor Group Number ,tpsid,row1 ,row2
173204793919088,438209,295,250.75
173208457980563,438207,247,209.95
173220321526650,438213,144,122.4
173221915177692,438209,278,236.3
173228035403860,438211,466.72,372.3
173228412354821,438207,213.11,170
173228830455255,438211,380.4,303.45
173228915229084,438205,95.9,76.5
173229251257561,438203,68.2,54.4
173229376603765,438207,189.67,151.3
173229936362702,438207,209.92,167.45
173229962135889,438209,328.19,261.8
173230986130601,438209,241.88,192.95
173231466051386,438207,213.11,170
173231469612772,438207,169.42,135.15
173236050919311,438205,95.9,76.5
173236167912942,438209,307.95,245.65
173236305162763,438207,189.67,151.3
173236522893782,438207,161.97,129.2
173236945418426,438207,170.49,136
173237479285727,438209,322.86,257.55
173238205631982,438211,378.27,301.75
173238527155317,438205,94.83,75.65
173245095721509,438203,105.49,84.15
173246462555811,438203,107.62,85.85
173247046283333,438207,290.9,232.05
173247568124826,438209,231.23,184.45
173247770529918,438209,231.23,184.45
173248010449888,438207,212.05,169.15
173248093970447,438207,158.77,126.65
173248155805237,438205,112.95,90.1
173251756298291,438207,186.47,148.75
173252707237520,438205,127.87,102
173253350119819,438209,314.34,250.75
173254992584887,438207,198.19,158.1
173255347784157,438207,180.08,143.65
173256874309415,438203,105.49,84.15
173256973228891,438207,206.72,164.9
173257233075773,438205,115.08,91.8
173261549433545,438203,66.06,52.7
173261771445793,438203,80.98,64.6
173262108923015,438207,182.21,145.35
173262743919326,438209,302.62,241.4
173262955967850,438209,280.24,223.55
173263368746994,438207,231.23,184.45
173264957158362,438209,320.73,255.85
173266649424045,438209,246.14,196.35
173271527212749,438203,68.2,54.4
173272593636529,438207,180.08,143.65
173273200653865,438207,182.21,145.35
173273566747873,438203,77.79,62.05
173274161670514,438207,190.74,152.15
173274179180457,438207,209.92,167.45
173274266674576,438207,248.28,198.05
173275183439011,438211,304.75,243.1
173275404690898,438205,80.98,64.6
173277217330756,438211,400.01,302.6
173279982784601,438207,198.88,150.45
173282259340276,438203,117.98,89.25
173282577693586,438207,200,151.3
173283249790426,438207,166.3,125.8
173283971995613,438203,117.98,89.25
173287137543178,438211,383.15,289.85
173288072229537,438207,148.32,112.2
173288086443152,438209,338.21,255.85
173288125672200,438207,235.96,178.5
173288444570232,438209,258.43,195.5
173289232515818,438207,200,151.3
173289706324655,438203,71.91,54.4
173290768648225,438203,93.26,70.55
173291226054356,438211,330.34,249.9
173297334648528,438209,333.71,252.45
173298006497286,438205,108.99,82.45
173308493249245,438207,195.51,147.9
173309125325362,438203,98.88,74.8
173309301208387,438207,168.54,127.5
173313148326908,438207,243.82,184.45
173313889009725,438207,206.75,156.4
173314447307699,438207,171.91,130.05
173315091557487,438207,192.14,145.35
173315508047700,438205,100,75.65
173316184149165,438205,108.99,82.45
173316955068357,438207,220.23,166.6
173317508632259,438205,112.36,85
173320257504349,438207,201.13,152.15
173321539893479,438203,110.11,83.3
173325544349668,438205,116.86,88.4
173326953633561,438203,103.37,78.2
173330352482644,438209,358.43,271.15
173331659693054,438207,182.03,137.7
173333003005285,438207,198.88,150.45
173334003614648,438211,529.22,400.35
173334619141186,438207,234.84,177.65
173334914002599,438203,80.9,61.2
173340045078013,438209,298.88,226.1
173342006246587,438207,187.64,141.95
173349122246406,438205,124.72,94.35
173357492673927,438207,274.16,207.4
173357967424009,438207,224.72,170
173358472413572,438205,100,75.65
173358919464687,438203,98.88,74.8
173374440509563,438207,228.09,172.55
173374496643248,438211,350.57,265.2
173374735897775,438207,274.16,207.4
173374744645162,438203,66.29,50.15
173376714606429,438203,87.64,66.3
173382535629190,438205,86.52,65.45
173383068520451,438203,62.92,47.6
173383594386414,438205,115.73,87.55
173384211458386,438207,184.27,139.4
173386558376052,438209,300.01,226.95
173386759572666,438203,88.77,67.15
173391391708691,438203,107.87,81.6
173391436750050,438207,200,151.3
173391567556100,438207,207.87,157.25
173391710761128,438209,355.06,268.6
173391985387304,438207,244.95,185.3
173392831402991,438203,88.77,67.15
173393063460382,438207,185.4,140.25
173403415498209,438203,119.1,90.1
173404791921160,438207,260.68,197.2
173408138671004,438203,96.63,73.1
173409323393539,438209,364.05,275.4
173418328828417,438207,180.9,136.85
173418492124881,438205,152.81,115.6
173420344159889,438207,201.13,152.15
173426126872367,438207,202.25,153
173427629735557,438207,265.17,200.6
173428082604058,438205,150.56,113.9
173428192035846,438208,183.15,138.55
173428339312924,438207,203.37,153.85
173428854838329,438207,184.27,139.4
173429267376711,438207,265.17,200.6
173429381074433,438207,298.88,226.1
173429989339403,438203,68.54,51.85
173434044042323,438203,88.77,67.15
173434060671509,438207,213.49,161.5
173435984157437,438207,215.73,163.2
173436667182286,438205,149.44,113.05
173437177245050,438203,88.77,67.15
173437602825963,438207,260.68,197.2
173443315182800,438205,87.64,66.3
173443866586376,438207,232.59,175.95
173452327708903,438207,200,151.3
173452547782180,438207,222.48,168.3
173453092130153,438205,139.33,105.4
173453661961704,438203,128.09,96.9
173453793659088,438209,334.84,253.3
173454409629331,438211,358.43,271.15
173455189452355,438207,220.23,166.6
173455866398888,438207,262.93,198.9
173455973947224,438203,119.1,90.1
173460263538453,438205,108.99,82.45
173460526758425,438207,200,151.3
173461376097892,438203,88.77,67.15
173469729008620,438207,220.23,166.6
173469875704575,438203,125.84,95.2
173470258882036,438203,86.52,65.45
173470312117959,438207,195.51,147.9
173471046124934,438207,305.62,231.2
173471344992089,438209,285.4,215.9
173471629374889,438203,104.5,79.05
173478744346983,438203,91.01,68.85
173479212189153,438209,448.32,339.15
173488318260522,438207,152.81,115.6
173491426734989,438207,294.39,222.7
173494595678053,438211,382.03,289
173495107090041,438207,306.75,232.05
173498764772526,438205,119.1,90.1
173498790083663,438207,228.09,172.55
173503430396669,438207,174.16,131.75
173503631611293,438209,300.01,226.95
173504440391042,438207,186.52,141.1
173505470257853,438207,171.91,130.05
173505948667928,438208,274.16,207.4
173508410107404,438205,150.56,113.9
173522710162017,438209,344.95,260.95
173523852135717,438207,189.89,143.65
173526684392073,438207,216.86,164.05
173529884279002,438207,210.12,158.95
173530244348429,438203,102.25,77.35
173532187795658,438209,253.94,192.1
173532817433655,438203,92.14,69.7
173533027453470,438207,164.05,124.1
173533795684114,438207,202.25,153
173538115058058,438209,260.68,197.2
173538488856764,438209,328.1,248.2
173538579874768,438209,255.06,192.95
173539136411351,438203,97.75,73.95
173542801528067,438207,255.06,192.95
173543564651462,438207,212.36,160.65
173546759385855,438203,65.17,49.3
173547208646368,438207,148.32,112.2
173547941816927,438205,116.86,88.4
173549307553908,438209,296.63,224.4
173550715971362,438205,116.86,88.4
173551124824044,438203,66.29,50.15
173204183677552,438209,267,226.95
173204782360580,438207,203,172.55
173205185151959,438203,72,61.2
173205284300448,438207,194,164.9
173209589316291,438209,269,228.65
173221744341052,438207,285,242.25
173222213210654,438203,65,55.25
173222230905879,438205,111,94.35
173228176492791,438203,80.98,64.6
173228840116297,438207,305.82,243.95
173235510260042,438207,155.57,124.1
173235778992624,438205,94.83,75.65
173237373335927,438207,189.67,151.3
173242622957210,438203,76.72,61.2
173245533270349,438207,158.77,126.65
173246097766736,438207,189.67,151.3
173246990818417,438207,216.31,172.55
173249517052923,438205,94.83,75.65
173252765489858,438203,100.16,79.9
173254519805502,438207,192.87,153.85
173256251275820,438207,271.72,216.75
173263754719420,438207,167.29,133.45
173264142188447,438209,314.34,250.75
173264418519535,438207,208.85,166.6
173265419147672,438203,72.46,57.8
173271105521780,438207,173.69,138.55
173278924955661,438205,141.58,107.1
173282888793374,438207,195.51,147.9
173282904907178,438207,266.3,201.45
173283310871376,438207,251.69,190.4
173288384995923,438205,124.72,94.35
173288887218247,438207,198.88,150.45
173290450675455,438203,85.39,64.6
173291645344696,438207,200,151.3
173292386099871,438203,80.9,61.2
173295256192248,438203,80.9,61.2
173296761018584,438203,76.41,57.8
173296993238337,438209,315.74,238.85
173297699395413,438205,112.36,85
173299269334175,438209,273.04,206.55
173308391890928,438207,167.42,126.65
173308749593100,438205,126.97,96.05
173313516770466,438204,103.37,78.2
173315111340100,438205,108.99,82.45
173323369790574,438207,211.24,159.8
173325245507019,438208,186.52,141.1
173338292865749,438203,84.27,63.75
173340159127959,438209,319.11,241.4
173343809388582,438203,78.65,59.5
173350380997679,438207,191.01,144.5
173357927275810,438209,334.84,253.3
173358979769710,438203,87.64,66.3
173375843187842,438207,177.53,134.3
173383003269864,438205,135.96,102.85
173383436272091,438207,211.24,159.8
173392244492327,438207,260.68,197.2
173412946403125,438203,122.47,92.65
173419822021274,438207,200,151.3
173438424424062,438207,310.12,234.6
173444729515292,438203,128.09,96.9
173445059247508,438203,110.11,83.3
173446021172159,438207,287.65,217.6
173453917699050,438207,212.36,160.65
173462070993415,438207,241.58,182.75
173470413684066,438205,116.86,88.4
173470544414640,438207,178.65,135.15
173471890768270,438207,200,151.3
173472656740574,438207,188.77,142.8
173478952865165,438207,182.03,137.7
173487446535915,438209,300.01,226.95
173495717644871,438205,152.81,115.6
173497311373980,438207,243.82,184.45
173520317725531,438209,330.34,249.9
173521569751695,438207,200,151.3
173522205472027,438207,173.04,130.9
173522712687170,438209,344.95,260.95
173522943885524,438207,200,151.3
173529313081300,438205,156.18,118.15
173530271090585,438203,87.64,66.3
173533284341608,438205,152.81,115.6
173538815518447,438207,192.14,145.35
173539095361234,438207,180.9,136.85
173539402708718,438207,173.04,130.9
173539442163469,438205,103.37,78.2
173540928820517,438203,75.28,56.95
173547600638234,438203,124.72,94.35
173202346363028,438207,166,141.1
173205159656809,438209,292,248.2
173209666639923,438205,104,88.4
173209679827528,438207,178,151.3
173209690896806,438207,179,152.15
173209951047760,438205,119,101.15
173210631788705,438203,64,54.4
173211015629521,438205,89,75.65
173213413935415,438205,89,75.65
173219869042733,438203,89,75.65
173222599242982,438207,224,190.4
173226926197039,438209,227.8,227.8
173229313803676,438207,213.11,170
173235119551747,438209,408.11,325.55
173235583295882,438211,382.54,305.15
173236783038808,438207,161.97,129.2
173237356989655,438207,219.51,175.1
173239837267283,438209,419.83,334.9
173240338161887,438207,151.31,120.7
173244988119431,438207,158.77,126.65
