Vistor Group Number ,Price Data
173204793919088,"{""438209"":{""unit_list_price"":295,""unit_supplier_price"":250.75}}"
173208457980563,"{""438207"":{""unit_list_price"":247,""unit_supplier_price"":209.95},""438208"":{""unit_list_price"":233,""unit_supplier_price"":198.05}}"
173220321526650,"{""438213"":{""unit_list_price"":144,""unit_supplier_price"":122.4}}"
173221915177692,"{""438209"":{""unit_list_price"":278,""unit_supplier_price"":236.3}}"
173228035403860,"{""438211"":{""unit_list_price"":466.72,""unit_supplier_price"":372.3},""438212"":{""unit_list_price"":441.14,""unit_supplier_price"":351.9}}"
173228412354821,"{""438207"":{""unit_list_price"":213.11,""unit_supplier_price"":170},""438208"":{""unit_list_price"":199.26,""unit_supplier_price"":158.95}}"
173228830455255,"{""438211"":{""unit_list_price"":380.4,""unit_supplier_price"":303.45},""438212"":{""unit_list_price"":355.9,""unit_supplier_price"":283.9}}"
173228915229084,"{""438205"":{""unit_list_price"":95.9,""unit_supplier_price"":76.5}}"
173229251257561,"{""438203"":{""unit_list_price"":68.2,""unit_supplier_price"":54.4},""438204"":{""unit_list_price"":63.93,""unit_supplier_price"":51}}"
173229376603765,"{""438207"":{""unit_list_price"":189.67,""unit_supplier_price"":151.3},""438208"":{""unit_list_price"":179.01,""unit_supplier_price"":142.8}}"
173229936362702,"{""438207"":{""unit_list_price"":209.92,""unit_supplier_price"":167.45}}"
173229962135889,"{""438209"":{""unit_list_price"":328.19,""unit_supplier_price"":261.8},""438210"":{""unit_list_price"":306.88,""unit_supplier_price"":244.8}}"
173230986130601,"{""438209"":{""unit_list_price"":241.88,""unit_supplier_price"":192.95},""438210"":{""unit_list_price"":229.1,""unit_supplier_price"":182.75}}"
173231466051386,"{""438207"":{""unit_list_price"":213.11,""unit_supplier_price"":170},""438208"":{""unit_list_price"":199.26,""unit_supplier_price"":158.95}}"
173231469612772,"{""438207"":{""unit_list_price"":169.42,""unit_supplier_price"":135.15}}"
173236050919311,"{""438205"":{""unit_list_price"":95.9,""unit_supplier_price"":76.5}}"
173236167912942,"{""438209"":{""unit_list_price"":307.95,""unit_supplier_price"":245.65},""438210"":{""unit_list_price"":288.77,""unit_supplier_price"":230.35}}"
173236305162763,"{""438207"":{""unit_list_price"":189.67,""unit_supplier_price"":151.3},""438208"":{""unit_list_price"":179.01,""unit_supplier_price"":142.8}}"
173236522893782,"{""438207"":{""unit_list_price"":161.97,""unit_supplier_price"":129.2},""438208"":{""unit_list_price"":153.44,""unit_supplier_price"":122.4}}"
173236945418426,"{""438207"":{""unit_list_price"":170.49,""unit_supplier_price"":136}}"
173237479285727,"{""438209"":{""unit_list_price"":322.86,""unit_supplier_price"":257.55},""438210"":{""unit_list_price"":303.68,""unit_supplier_price"":242.25}}"
173238205631982,"{""438211"":{""unit_list_price"":378.27,""unit_supplier_price"":301.75},""438212"":{""unit_list_price"":355.9,""unit_supplier_price"":283.9}}"
173238527155317,"{""438205"":{""unit_list_price"":94.83,""unit_supplier_price"":75.65}}"
173245095721509,"{""438203"":{""unit_list_price"":105.49,""unit_supplier_price"":84.15},""438204"":{""unit_list_price"":98.03,""unit_supplier_price"":78.2}}"
173246462555811,"{""438203"":{""unit_list_price"":107.62,""unit_supplier_price"":85.85}}"
173247046283333,"{""438207"":{""unit_list_price"":290.9,""unit_supplier_price"":232.05},""438208"":{""unit_list_price"":273.85,""unit_supplier_price"":218.45}}"
173247568124826,"{""438209"":{""unit_list_price"":231.23,""unit_supplier_price"":184.45},""438210"":{""unit_list_price"":218.44,""unit_supplier_price"":174.25}}"
173247770529918,"{""438209"":{""unit_list_price"":231.23,""unit_supplier_price"":184.45}}"
173248010449888,"{""438207"":{""unit_list_price"":212.05,""unit_supplier_price"":169.15},""438208"":{""unit_list_price"":199.26,""unit_supplier_price"":158.95}}"
173248093970447,"{""438207"":{""unit_list_price"":158.77,""unit_supplier_price"":126.65},""438208"":{""unit_list_price"":149.18,""unit_supplier_price"":119}}"
173248155805237,"{""438205"":{""unit_list_price"":112.95,""unit_supplier_price"":90.1},""438206"":{""unit_list_price"":106.56,""unit_supplier_price"":85}}"
173251756298291,"{""438207"":{""unit_list_price"":186.47,""unit_supplier_price"":148.75},""438208"":{""unit_list_price"":174.75,""unit_supplier_price"":139.4}}"
173252707237520,"{""438205"":{""unit_list_price"":127.87,""unit_supplier_price"":102}}"
173253350119819,"{""438209"":{""unit_list_price"":314.34,""unit_supplier_price"":250.75},""438210"":{""unit_list_price"":294.09,""unit_supplier_price"":234.6}}"
173254992584887,"{""438207"":{""unit_list_price"":198.19,""unit_supplier_price"":158.1}}"
173255347784157,"{""438207"":{""unit_list_price"":180.08,""unit_supplier_price"":143.65},""438208"":{""unit_list_price"":169.42,""unit_supplier_price"":135.15}}"
173256874309415,"{""438203"":{""unit_list_price"":105.49,""unit_supplier_price"":84.15}}"
173256973228891,"{""438207"":{""unit_list_price"":206.72,""unit_supplier_price"":164.9}}"
173257233075773,"{""438205"":{""unit_list_price"":115.08,""unit_supplier_price"":91.8}}"
173261549433545,"{""438203"":{""unit_list_price"":66.06,""unit_supplier_price"":52.7},""438204"":{""unit_list_price"":61.8,""unit_supplier_price"":49.3}}"
173261771445793,"{""438203"":{""unit_list_price"":80.98,""unit_supplier_price"":64.6}}"
173262108923015,"{""438207"":{""unit_list_price"":182.21,""unit_supplier_price"":145.35},""438208"":{""unit_list_price"":173.69,""unit_supplier_price"":138.55}}"
173262743919326,"{""438209"":{""unit_list_price"":302.62,""unit_supplier_price"":241.4}}"
173262955967850,"{""438209"":{""unit_list_price"":280.24,""unit_supplier_price"":223.55},""438210"":{""unit_list_price"":262.13,""unit_supplier_price"":209.1}}"
173263368746994,"{""438207"":{""unit_list_price"":231.23,""unit_supplier_price"":184.45},""438208"":{""unit_list_price"":218.44,""unit_supplier_price"":174.25}}"
173264957158362,"{""438209"":{""unit_list_price"":320.73,""unit_supplier_price"":255.85},""438210"":{""unit_list_price"":301.55,""unit_supplier_price"":240.55}}"
173266649424045,"{""438209"":{""unit_list_price"":246.14,""unit_supplier_price"":196.35},""438210"":{""unit_list_price"":231.23,""unit_supplier_price"":184.45}}"
173271527212749,"{""438203"":{""unit_list_price"":68.2,""unit_supplier_price"":54.4}}"
173272593636529,"{""438207"":{""unit_list_price"":180.08,""unit_supplier_price"":143.65},""438208"":{""unit_list_price"":169.42,""unit_supplier_price"":135.15}}"
173273200653865,"{""438207"":{""unit_list_price"":182.21,""unit_supplier_price"":145.35},""438208"":{""unit_list_price"":171.56,""unit_supplier_price"":136.85}}"
173273566747873,"{""438203"":{""unit_list_price"":77.79,""unit_supplier_price"":62.05},""438204"":{""unit_list_price"":72.46,""unit_supplier_price"":57.8}}"
173274161670514,"{""438207"":{""unit_list_price"":190.74,""unit_supplier_price"":152.15},""438208"":{""unit_list_price"":179.01,""unit_supplier_price"":142.8}}"
173274179180457,"{""438207"":{""unit_list_price"":209.92,""unit_supplier_price"":167.45},""438208"":{""unit_list_price"":198.19,""unit_supplier_price"":158.1}}"
173274266674576,"{""438207"":{""unit_list_price"":248.28,""unit_supplier_price"":198.05},""438208"":{""unit_list_price"":233.36,""unit_supplier_price"":186.15}}"
173275183439011,"{""438211"":{""unit_list_price"":304.75,""unit_supplier_price"":243.1},""438212"":{""unit_list_price"":287.7,""unit_supplier_price"":229.5}}"
173275404690898,"{""438205"":{""unit_list_price"":80.98,""unit_supplier_price"":64.6}}"
173277217330756,"{""438211"":{""unit_list_price"":400.01,""unit_supplier_price"":302.6},""438212"":{""unit_list_price"":375.29,""unit_supplier_price"":283.9}}"
173279982784601,"{""438207"":{""unit_list_price"":198.88,""unit_supplier_price"":150.45},""438208"":{""unit_list_price"":186.52,""unit_supplier_price"":141.1}}"
