
cod_id	company	sub_catalog_id	own_supplier_id	catalog_name	catalog_category	catalog_type	client_provided_catalog_name	distributor_id
11745	Civitatis Tours S.L	0	0	RRRRR	No Condition	No condition	BASE	11745
7655	Rosewood London 	171640797655057	0	MID 28%	Sub_catalog	agent_catalog	BASE	7655
41899	SButt Test	0	0	RRRRR	No Condition	No condition	BASE	41899
11724	AAT KINGS SPOS - TEST	0	0	RRRRR	No Condition	No condition	BASE	11724
51153	TRIBE London Canary Wharf	0	0	RRRRR	No Condition	No condition	BASE	51153
51091	Mobee Travel	0	0	RRRRR	No Condition	No condition	BASE	51091
51102	CocoMoola EE	0	0	RRRRR	No Condition	No condition	BASE	51102
51126	Coco-Moola	0	0	RRRRR	No Condition	No condition	BASE	51126
50894	art'otel London Hoxton	0	0	RRRRR	No Condition	No condition	BASE	50894
50794	Panorama Tours	0	0	RRRRR	No Condition	No condition	BASE	50794
50863	Raffles London	0	0	RRRRR	No Condition	No condition	BASE	50863
7205	Grosvenor House Hotel 	171640797655057	0	MID 28%	Sub_catalog	agent_catalog	NIL	7205
6809	We Know London Group	171640808526563	0	HIGHER	Sub_catalog	agent_catalog	MID 	6809
50445	TREND VIAGENS	0	0	RRRRR	No Condition	No condition	HIGHER	50445
44063	Project Expedition LLC	171640784610681	0	BASE 25%	Sub_catalog	agent_catalog	HIGHER	44063
7919	Holiday Inn London Kensington 	171640797655057	0	MID 28%	Sub_catalog	agent_catalog	HIGHER	7919
50832	VISUAL TURISMO	0	0	RRRRR	No Condition	No condition	HIGHER	50832
50926	Perkopolis	0	0	RRRRR	No Condition	No condition	STANDALONE	50926
51000	Perkopolis Widget	0	0	RRRRR	No Condition	No condition	STANDALONE	51000
