ticket_id,tps_id,hotel_id,channel_id,reseller_id
13739,112953,457,12,541
13421,77141,27476,1430,541
13421,77141,2899,262,541
13424,112593,722,10,541
14165,358174,818,28,61
61426,415014,14235,830,541
13961,428552,5960,517,541
15590,339909,722,10,17
13424,112596,44587,830,541
13619,112545,2648,156,541
14159,362453,7100,830,541
14126,303553,5960,517,541
25362,433492,722,10,17
13907,243145,457,12,15
13820,384501,28532,830,541
14336,422862,5960,517,541
14495,285392,818,28,61
14033,339541,457,12,15
70902,339835,5960,517,541
22584,339940,5960,517,541
15569,427014,44587,830,541
13754,79538,846,16,541
13718,79442,5963,517,541
13682,428250,8423,830,541
15605,339949,846,16,69
13670,78863,5960,517,541
13952,339759,722,10,17
13424,112593,8480,830,541
13754,79538,8423,830,541
13829,328810,53489,517,541
13817,384498,7919,830,541
13718,79445,5960,517,541
13682,206384,722,10,17
13949,243123,457,12,15
15566,339897,5960,517,541
13931,428458,722,10,17
14495,285389,5960,517,541
13829,454977,10736,517,541
13613,78722,6257,830,541
13904,339892,457,12,15
23158,428476,5960,517,541
13916,339528,818,28,61
83712,418094,5960,517,541
26460,406903,44587,830,541
13652,78815,6278,830,541
13421,77141,11136,830,541
13829,454862,686,14,51
13613,78725,8480,830,541
13829,421827,722,10,17
13658,90482,722,10,541
22578,339551,722,10,17
50575,303501,7055,830,541
25228,330323,818,28,61
59340,415008,5957,665,674
26458,450835,7655,830,541
15605,428535,722,10,17
61395,414992,8756,830,541
15827,303497,5963,517,541
13466,77264,44063,830,541
13955,339955,44063,830,541
14126,303552,7418,830,541
13724,79469,5963,517,541
23722,303512,818,28,61
13739,112953,8423,830,541
13742,79511,8480,830,541
59436,284478,5960,517,541
13421,77141,9029,830,541
13844,339518,457,12,15
14153,387858,7655,830,541
13685,339231,44587,830,541
70902,350998,7919,830,541
13670,78863,50293,5157,541
23499,341167,5963,517,541
15605,339946,33310,830,541
13742,79508,8984,830,541
13421,77141,54096,830,541
15605,339947,818,28,61
13805,428901,44063,830,541
13421,77141,6140,830,541
50595,303549,7862,830,541
79970,428951,2899,262,211
13829,421820,6458,830,541
13829,421824,5957,665,674
13652,78815,6251,830,541
13796,428277,27476,1430,1380
13424,112596,2648,156,541
61426,337348,5960,517,541
13829,421821,722,10,17
13538,78380,5963,517,541
13742,79508,6257,830,541
13631,78767,48832,517,541
14153,387855,7904,830,541
14126,303553,6188,830,541
16040,389628,49689,830,541
13829,454978,6458,830,541
61384,339242,5960,517,541
70893,428564,722,10,17
14153,387855,7805,830,541
22584,339940,27476,1430,1380
13745,112959,722,10,541
13421,77141,7658,830,541
13670,78860,29465,830,541
25045,405056,44587,830,541
23158,339754,722,10,17
13724,79469,11136,830,541
13721,430733,818,28,541
13928,428463,8423,830,541
