vt_group_no	transaction_id	hotel_id	channel_id	ticketId	ticketpriceschedule_id	version	row_type	partner_net_price	salePrice	percentage_commission	commission_price	commission_on_sale	resale_percentage
172907827049642	172907827049642043R	8423	830	13931	339573	6	1	125.00	125.00	100.00	No_Setting_found	1	0
172907827049642	172907827049642043R	8423	830	13931	339573	6	2	53.51	125.00	0.00	53.51	1	0
172907827049642	172907827049642043R	8423	830	13931	339573	6	3	31.25	125.00	25.00	31.25	1	0
172907827049642	172907827049642043R	8423	830	13931	339573	6	4	40.24	125.00	75.00	40.24	1	0
172907827049642	172907827049642043R	8423	830	13931	339573	6	17	0.00	125.00	No_Setting_found	0.00	1	0
172907827049642	172907827049642049R	8423	830	13931	339573	6	1	125.00	125.00	100.00	No_Setting_found	1	0
172907827049642	172907827049642049R	8423	830	13931	339573	6	2	53.51	125.00	0.00	53.51	1	0
172907827049642	172907827049642049R	8423	830	13931	339573	6	3	31.25	125.00	25.00	31.25	1	0
172907827049642	172907827049642049R	8423	830	13931	339573	6	4	40.24	125.00	75.00	40.24	1	0
172907827049642	172907827049642049R	8423	830	13931	339573	6	17	0.00	125.00	No_Setting_found	0.00	1	0
vt_group_no	transaction_id	hotel_id	channel_id	ticketId	ticketpriceschedule_id	version	row_type	partner_net_price	salePrice	percentage_commission	commission_price	commission_on_sale	resale_percentage
173315761578243	173315761578243001R	9029	830	13931	339573	1	1	125.00	125.00	100.00	No_Setting_found	1	1
173315761578243	173315761578243001R	9029	830	13931	339573	1	2	0.00	125.00	0.00	0.00	1	1
173315761578243	173315761578243001R	9029	830	13931	339573	1	3	31.25	125.00	28.00	35.00	1	1
173315761578243	173315761578243001R	9029	830	13931	339573	1	4	93.75	125.00	72.00	90.00	1	1
173315761578243	173315761578243001R	9029	830	13931	339573	1	17	0.00	125.00	No_Setting_found	0.00	1	1
173315761578243	173315761578243002R	9029	830	13931	339573	1	1	125.00	125.00	100.00	No_Setting_found	1	1
173315761578243	173315761578243002R	9029	830	13931	339573	1	2	0.00	125.00	0.00	0.00	1	1
173315761578243	173315761578243002R	9029	830	13931	339573	1	3	31.25	125.00	28.00	35.00	1	1
173315761578243	173315761578243002R	9029	830	13931	339573	1	4	93.75	125.00	72.00	90.00	1	1
173315761578243	173315761578243002R	9029	830	13931	339573	1	17	0.00	125.00	No_Setting_found	0.00	1	1
173315761578243	173315761578243003R	9029	830	13931	339573	1	1	125.00	125.00	100.00	No_Setting_found	1	1
173315761578243	173315761578243003R	9029	830	13931	339573	1	2	0.00	125.00	0.00	0.00	1	1
173315761578243	173315761578243003R	9029	830	13931	339573	1	3	31.25	125.00	28.00	35.00	1	1
173315761578243	173315761578243003R	9029	830	13931	339573	1	4	93.75	125.00	72.00	90.00	1	1
173315761578243	173315761578243003R	9029	830	13931	339573	1	17	0.00	125.00	No_Setting_found	0.00	1	1
vt_group_no	transaction_id	hotel_id	channel_id	ticketId	ticketpriceschedule_id	version	row_type	partner_net_price	salePrice	percentage_commission	commission_price	commission_on_sale	resale_percentage
173436412000434	173436412000434001R	6458	830	67436	415018	1.1	1	229.00	229.00	100.00	No_Setting_found	1	1
173436412000434	173436412000434001R	6458	830	67436	415018	1.1	2	0.00	229.00	0.00	0.00	1	1
173436412000434	173436412000434001R	6458	830	67436	415018	1.1	3	52.67	229.00	25.00	57.25	1	1
173436412000434	173436412000434001R	6458	830	67436	415018	1.1	4	176.33	229.00	75.00	171.75	1	1
173436412000434	173436412000434001R	6458	830	67436	415018	1.1	17	0.00	229.00	No_Setting_found	0.00	1	1
