vt_group_no	transaction_id	order_confirm_date	created_date	hotel_id	channel_id	ticketId	ticketpriceschedule_id	version	row_type	partner_gross_price	partner_net_price	salePrice	order_currency_partner_gross_price	order_currency_partner_net_price	supplier_gross_price	supplier_net_price	col2	company_id	company_pricelist_id	company_sub_catalog	TYPE	tlc_ticketpriceschedule_id	resale_currency_level	tlc_dist_per	tlc_hgs_per	tlc_mer_per	tlc_res_per	tlc_comm_on_sale	tlc_is_resale_percentage	tlc_museum_net_commission	tlc_merchant_net_commission	tlc_hotel_commission_net_price	tlc_hgs_commission_net_price	type2	catalog_id	sc_ticketpriceschedule_id	sc_resale_currency_level	sc_dist_per	sc_hgs_per	sc_mer_per	sc_res_per	sc_comm_on_sale	sc_is_resale_percentage	sc_museum_net_commission	sc_merchant_net_commission	sc_hotel_commission_net_price	sc_hgs_commission_net_price	type3	clc_ticketpriceschedule_id	pl_dist_per	pl_hgs_per	pl_mer_per	pl_res_per	pl_comm_on_sale	pl_is_resale_percentage	pl_museum_net_commission	pl_merchant_net_commission	pl_hotel_commission_net_price	pl_hgs_commission_net_price
171707491365870	171707491365870001R	2024-05-30 13:16:13	2024-05-30 13:16:13	8423	830	13832	339497	2	1	30.00	30.00	30.00	30.00	30.00	30.00	30.00	0	8423	830	171640808526563	---TLC LEVEL---	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	----Sub catalog Level---	171640808526563	339497	1	25.00	75.00	0.00	0.00	1	1	0.00	0.00	7.50	22.50	----Price List Level---	339497	20.00	80.00	0.00	0.00	1	0	11.20	0.00	6.00	10.50
171707491365870	171707491365870001R	2024-05-30 13:16:13	2024-05-30 13:16:13	8423	830	13832	339497	2	2	0.00	0.00	30.00	0.00	0.00	11.20	11.20	0	8423	830	171640808526563	---TLC LEVEL---	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	----Sub catalog Level---	171640808526563	339497	1	25.00	75.00	0.00	0.00	1	1	0.00	0.00	7.50	22.50	----Price List Level---	339497	20.00	80.00	0.00	0.00	1	0	11.20	0.00	6.00	10.50
171707491365870	171707491365870001R	2024-05-30 13:16:13	2024-05-30 13:16:13	8423	830	13832	339497	2	3	6.90	6.90	30.00	0.00	0.00	7.50	7.50	0	8423	830	171640808526563	---TLC LEVEL---	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	----Sub catalog Level---	171640808526563	339497	1	25.00	75.00	0.00	0.00	1	1	0.00	0.00	7.50	22.50	----Price List Level---	339497	20.00	80.00	0.00	0.00	1	0	11.20	0.00	6.00	10.50
171707491365870	171707491365870001R	2024-05-30 13:16:13	2024-05-30 13:16:13	8423	830	13832	339497	2	4	23.10	23.10	30.00	30.00	30.00	9.00	9.00	0	8423	830	171640808526563	---TLC LEVEL---	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	----Sub catalog Level---	171640808526563	339497	1	25.00	75.00	0.00	0.00	1	1	0.00	0.00	7.50	22.50	----Price List Level---	339497	20.00	80.00	0.00	0.00	1	0	11.20	0.00	6.00	10.50
171707491365870	171707491365870001R	2024-05-30 13:16:13	2024-05-30 13:16:13	8423	830	13832	339497	2	17	0.00	0.00	30.00	0.00	0.00	0.00	0.00	0	8423	830	171640808526563	---TLC LEVEL---	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	----Sub catalog Level---	171640808526563	339497	1	25.00	75.00	0.00	0.00	1	1	0.00	0.00	7.50	22.50	----Price List Level---	339497	20.00	80.00	0.00	0.00	1	0	11.20	0.00	6.00	10.50
171707491365870	171707491365870002R	2024-05-30 13:16:13	2024-05-30 13:16:13	8423	830	13832	339497	2	1	30.00	30.00	30.00	30.00	30.00	30.00	30.00	0	8423	830	171640808526563	---TLC LEVEL---	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	----Sub catalog Level---	171640808526563	339497	1	25.00	75.00	0.00	0.00	1	1	0.00	0.00	7.50	22.50	----Price List Level---	339497	20.00	80.00	0.00	0.00	1	0	11.20	0.00	6.00	10.50
171707491365870	171707491365870002R	2024-05-30 13:16:13	2024-05-30 13:16:13	8423	830	13832	339497	2	2	0.00	0.00	30.00	0.00	0.00	11.20	11.20	0	8423	830	171640808526563	---TLC LEVEL---	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	----Sub catalog Level---	171640808526563	339497	1	25.00	75.00	0.00	0.00	1	1	0.00	0.00	7.50	22.50	----Price List Level---	339497	20.00	80.00	0.00	0.00	1	0	11.20	0.00	6.00	10.50
171707491365870	171707491365870002R	2024-05-30 13:16:13	2024-05-30 13:16:13	8423	830	13832	339497	2	3	6.90	6.90	30.00	0.00	0.00	7.50	7.50	0	8423	830	171640808526563	---TLC LEVEL---	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	----Sub catalog Level---	171640808526563	339497	1	25.00	75.00	0.00	0.00	1	1	0.00	0.00	7.50	22.50	----Price List Level---	339497	20.00	80.00	0.00	0.00	1	0	11.20	0.00	6.00	10.50
171707491365870	171707491365870002R	2024-05-30 13:16:13	2024-05-30 13:16:13	8423	830	13832	339497	2	4	23.10	23.10	30.00	30.00	30.00	9.00	9.00	0	8423	830	171640808526563	---TLC LEVEL---	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	----Sub catalog Level---	171640808526563	339497	1	25.00	75.00	0.00	0.00	1	1	0.00	0.00	7.50	22.50	----Price List Level---	339497	20.00	80.00	0.00	0.00	1	0	11.20	0.00	6.00	10.50
171707491365870	171707491365870002R	2024-05-30 13:16:13	2024-05-30 13:16:13	8423	830	13832	339497	2	17	0.00	0.00	30.00	0.00	0.00	0.00	0.00	0	8423	830	171640808526563	---TLC LEVEL---	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	----Sub catalog Level---	171640808526563	339497	1	25.00	75.00	0.00	0.00	1	1	0.00	0.00	7.50	22.50	----Price List Level---	339497	20.00	80.00	0.00	0.00	1	0	11.20	0.00	6.00	10.50
