vt_group_no,transaction_id,order_confirm_date,distributorcommission,hotelfeeshouldbe,hotel_id,ticket_id,ticketpriceschedule_id,channel_id,reseller_id,status
173332137406211,173332137406211003R,2025-01-02,0,111,5963,15827,303497,517,541,0
173332137406211,173332137406211002R,2025-01-02,0,111,5963,15827,303497,517,541,0
173332137406211,173332137406211001R,2025-01-02,0,111,5963,15827,303497,517,541,0
173410399829015,173410399829015002R,2025-01-13,58.5,0,722,14015,375135,10,17,0
173410399829015,173410399829015001R,2025-01-13,58.5,0,722,14015,375135,10,17,0
173590834832643,173590834832643002R,2025-01-04,0,111,8942,14126,303552,517,541,0
173590834832643,173590834832643001R,2025-01-04,0,111,8942,14126,303552,517,541,0
172907827049642,172907827049642001R,2025-07-09,33.32,35.7,8423,15590,428505,830,541,0
172907827049642,172907827049642005R,2025-07-09,33.32,35.7,8423,15590,428505,830,541,0
172907827049642,172907827049642003R,2025-07-09,33.32,35.7,8423,15590,428505,830,541,0
172907827049642,172907827049642002R,2025-07-09,33.32,35.7,8423,15590,428505,830,541,0
172907827049642,172907827049642006R,2025-07-09,33.32,35.7,8423,15590,428505,830,541,0
172907827049642,172907827049642004R,2025-07-09,33.32,35.7,8423,15590,428505,830,541,0
173598714876211,173598714876211002R,2025-01-06,0,111,5963,50545,303560,517,541,0
173598714876211,173598714876211001R,2025-01-06,0,111,5963,50545,303560,517,541,0
173532178553952,173532178553952002R,2025-01-03,0,111,5963,14411,187270,517,541,0
173532178553952,173532178553952001R,2025-01-03,0,111,5963,14411,187270,517,541,0
173644387147082,173644387147082003R,2025-01-12,0,111,5960,13829,421820,517,541,0
173596979740783,173596979740783003R,2025-01-26,0,111,5960,13829,421820,517,541,0
173645722106805,173645722106805004R,2025-01-12,0,111,5960,13829,421820,517,541,0
173551790011071,173551790011071005R,2025-01-07,0,111,5960,13829,421820,517,541,0
173621153789239,173621153789239021R,2025-01-12,0,111,5960,13829,421820,517,541,0
173644387147082,173644387147082012R,2025-01-12,0,111,5960,13829,421820,517,541,0
173621153789239,173621153789239003R,2025-01-12,0,111,5960,13829,421820,517,541,0
173551790011071,173551790011071020R,2025-01-07,0,111,5960,13829,421820,517,541,0
173644387147082,173644387147082021R,2025-01-12,0,111,5960,13829,421820,517,541,0
173669426059757,173669426059757005R,2025-01-14,0,111,5960,13829,421820,517,541,0
173599474463414,173599474463414801R,2025-01-04,0,111,7718,14153,0,830,541,0
173332137406211,173332137406211005R,2025-01-02,0,111,5963,15827,303499,517,541,0
172380745238629,172380745238629001R,2025-01-27,24.75,111,44587,15569,411331,830,541,0
172380745238629,172380745238629011R,2025-01-27,24.75,111,44587,15569,411331,830,541,0
173408661852566,173408661852566001R,2025-01-03,45,0,457,14015,375135,12,15,0
173408661852566,173408661852566002R,2025-01-03,45,0,457,14015,375135,12,15,0
173265003124759,173265003124759005R,2025-01-20,0,111,5960,15569,427014,517,541,0
172978812937621,172978812937621001R,2025-01-06,0,111,5963,15569,427014,517,541,0
173265003124759,173265003124759003R,2025-01-20,0,111,5960,15569,427014,517,541,0
173265003124759,173265003124759028R,2025-01-20,0,111,5960,15569,427014,517,541,0
173265003124759,173265003124759029R,2025-01-20,0,111,5960,15569,427014,517,541,0
173265003124759,173265003124759004R,2025-01-20,0,111,5960,15569,427014,517,541,0
173541981212406,173541981212406012R,2025-01-17,0,111,5960,15569,427014,517,541,0
173467381034253,173467381034253001R,2025-01-13,0,111,5960,15569,427014,517,541,0
173711327377188,173711327377188002R,2025-01-19,0,111,5960,15569,427014,517,541,0
173541981212406,173541981212406002R,2025-01-17,0,111,5960,15569,427014,517,541,0
173265003124759,173265003124759030R,2025-01-20,0,111,5960,15569,427014,517,541,0
173469705127752,173469705127752006R,2025-01-13,0,111,5960,15569,427014,517,541,0
173711327377188,173711327377188001R,2025-01-19,0,111,5960,15569,427014,517,541,0
173469705127752,173469705127752001R,2025-01-13,0,111,5960,15569,427014,517,541,0
173467381034253,173467381034253006R,2025-01-13,0,111,5960,15569,427014,517,541,0
173341694651390,173341694651390002R,2025-01-29,22.77,24.75,6458,61395,414992,830,541,0
173341694651390,173341694651390001R,2025-01-29,22.77,24.75,6458,61395,414992,830,541,0
173564385506486,173564385506486001R,2025-01-02,121.5,145.8,6281,61384,339246,830,541,0
172907827049642,172907827049642049R,2025-01-16,31.25,37.5,8423,13931,339573,830,541,0
172907827049642,172907827049642043R,2025-01-16,31.25,37.5,8423,13931,339573,830,541,0
173590834832643,173590834832643003R,2025-01-06,0,111,8942,14660,303493,517,541,0
173590834832643,173590834832643004R,2025-01-06,0,111,8942,14660,303493,517,541,0
173391711964177,173391711964177001R,2025-01-24,0,111,5960,15569,427017,517,541,0
173649829686860,173649829686860021R,2025-01-12,0,111,5963,15569,427017,517,541,0
173720757422788,173720757422788001R,2025-01-19,0,111,5963,15569,427017,517,541,0
173649829686860,173649829686860022R,2025-01-12,0,111,5963,15569,427017,517,541,0
173649829686860,173649829686860002R,2025-01-12,0,111,5963,15569,427017,517,541,0
173649829686860,173649829686860011R,2025-01-10,0,111,5963,15569,427017,517,541,0
173649829686860,173649829686860001R,2025-01-12,0,111,5963,15569,427017,517,541,0
173265003124759,173265003124759027R,2025-01-20,0,111,5960,15569,427017,517,541,0
173336141485107,173336141485107001R,2025-01-13,0,111,5960,15569,427017,517,541,0
173265003124759,173265003124759002R,2025-01-20,0,111,5960,15569,427017,517,541,0
173687129396002,173687129396002001R,2025-01-19,0,111,5960,15569,427017,517,541,0
173613129294544,173613129294544001R,2025-01-10,0,111,5960,15569,427017,517,541,0
173541981212406,173541981212406001R,2025-01-17,0,111,5960,15569,427017,517,541,0
173613129294544,173613129294544006R,2025-01-10,0,111,5960,15569,427017,517,541,0
