vt_group_no,transaction_id,hotel_id,hotel_name,reseller_id,reseller_name,ticket_id,ticketpriceschedule_id,version,order_confirm_date,saleprice,purchaseprice,merchantcommission,distributorcommission,hgscommission,salepriceshouldbe,museumfeeshouldbe,merchantfeeshouldbe,hotelfeeshouldbe,hgsfeeshouldbe,modifiedshouldbe,pricinglevel
173727137680045,173727137680045001R,8984,Viator (EET),541,Evan Evans,15047,429253,1,2025-01-19 07:23:31,650,0,0,130,520,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173727137680045,173727137680045002R,8984,Viator (EET),541,Evan Evans,15047,429253,1,2025-01-19 07:23:31,650,0,0,130,520,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731396814292,173731396814292003R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421828,1,2025-01-19 19:16:24,95,0,0,0,62.5,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173730080378456,173730080378456033R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,422879,1,2025-01-19 15:37:55,130,0,0,0,90.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173730080378456,173730080378456032R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,422879,1,2025-01-19 15:37:55,130,0,0,0,90.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173730080378456,173730080378456031R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,422879,1,2025-01-19 15:37:55,130,0,0,0,90.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173725227083759,173725227083759001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,14069,341119,1,2025-01-19 02:08:21,1899,0,0,0,1899,1899,1899,0,0,0,2024-11-19 05:40:00,clcsetting
173727428345585,173727428345585002R,53911,Tourist England,541,Evan Evans,13829,421819,1,2025-01-19 08:24:47,105,0,0,26.25,46.25,105,0,0,26.25,78.75,2025-01-20 04:50:42,catalogsetting
173726341044775,173726341044775003R,49503,Hiseas International GmbH,541,Evan Evans,13829,421819,1,2025-01-19 05:10:58,105,0,0,26.25,46.25,105,0,0,26.25,78.75,2025-01-20 04:50:42,catalogsetting
173608909512303,173608909512303005R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421821,1.1,2025-01-05 15:02:15,0,0,0,0,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173730080378456,173730080378456001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,23158,428476,1,2025-01-19 15:37:55,69,0,0,0,69,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173725787345239,173725787345239001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,23158,428476,1,2025-01-19 03:41:44,69,0,0,0,69,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173730080378456,173730080378456002R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,23158,428476,1,2025-01-19 15:37:55,69,0,0,0,69,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173730080378456,173730080378456003R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,23158,428476,1,2025-01-19 15:37:55,69,0,0,0,69,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173725787345239,173725787345239002R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,23158,428476,1,2025-01-19 03:41:44,69,0,0,0,69,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173732326545542,173732326545542001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,15566,428489,1,2025-01-19 21:58:11,124,0,0,0,124,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173732326545542,173732326545542002R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,15566,428489,1,2025-01-19 21:58:11,124,0,0,0,124,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173732326042973,173732326042973002R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,15566,428489,1,2025-01-19 21:59:22,124,0,0,0,124,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173732326042973,173732326042973001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,15566,428489,1,2025-01-19 21:59:22,124,0,0,0,124,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
