vt_group_no,transaction_id,hotel_id,ticket_id,ticketpriceschedule_id,channel_id,reseller_id,sale_price,Distributor_price,commission,last_modified_at
173708439260821,173708439260821002,818,14495,285388,28,61,30,6.3,21,2025-01-17 03:26:35
173708845944935,173708845944935001,722,57039,339970,10,17,199,59.7,30,2025-01-17 04:40:10
173707972975148,173707972975148001,457,13829,454862,12,15,105,78.75,75,2025-01-17 02:44:42
173709473838297,173709473838297002,722,13928,339734,10,17,155,46.5,30,2025-01-17 06:19:05
173708265940106,173708265940106002,405,14162,421042,30,19,30,3,10,2025-01-17 02:57:42
173708287133860,173708287133860001,405,14162,421042,30,19,30,3,10,2025-01-17 03:01:14
173707964209553,173707964209553003,5960,57039,428557,517,541,205,0,0,2025-01-17 02:47:15
173007788016007,173007788016007043,722,22584,428527,10,17,110,33,30,2025-01-17 02:55:19
173707425416008,173707425416008002,457,13829,421827,12,15,105,0,0,2025-01-17 00:39:44
173708255235637,173708255235637001,405,14162,421042,30,19,30,3,10,2025-01-17 02:55:55
173708191076532,173708191076532002,457,13928,339734,12,15,155,46.5,30,2025-01-17 02:48:11
173707556214180,173707556214180002,44587,13805,428900,830,541,30,7.5,25,2025-01-17 01:00:13
173708213958084,173708213958084001,405,14162,421042,30,19,30,3,10,2025-01-17 02:49:02
173708197114457,173708197114457002,405,14162,421042,30,19,30,3,10,2025-01-17 02:46:13
173709044082388,173709044082388001,5960,13928,428463,517,541,165,0,0,2025-01-17 05:12:17
173708678804984,173708678804984001,722,15605,428532,10,17,135,40.5,30,2025-01-17 04:07:55
173708213958084,173708213958084002,405,14162,421042,30,19,30,3,10,2025-01-17 02:49:02
173709724443913,173709724443913001,722,15599,428517,10,17,119,35.7,30,2025-01-17 07:00:52
173708666865829,173708666865829001,44587,13799,428289,830,541,129,32.25,25,2025-01-17 04:05:35
173707855909047,173707855909047002,722,13928,339734,10,17,155,46.5,30,2025-01-17 01:49:25
173708307541090,173708307541090001,405,14162,421042,30,19,30,3,10,2025-01-17 03:04:37
173707964209553,173707964209553002,5960,57039,428557,517,541,205,0,0,2025-01-17 02:47:41
173707876305111,173707876305111002,722,15605,428532,10,17,135,40.5,30,2025-01-17 01:53:49
173707964209553,173707964209553004,5960,57039,428558,517,541,195,0,0,2025-01-17 02:46:50
173709217494174,173709217494174001,457,15590,428505,12,15,119,35.7,30,2025-01-17 05:41:48
173007788016007,173007788016007022,722,22584,428527,10,17,110,33,30,2024-11-25 11:16:41
173708292382212,173708292382212002,405,14162,421042,30,19,30,3,10,2025-01-17 03:02:06
173708246640187,173708246640187001,405,14162,421042,30,19,30,3,10,2025-01-17 02:54:29
173708876369780,173708876369780010,722,57039,339970,10,17,199,59.7,30,2025-01-17 04:49:27
173709579269387,173709579269387001,457,15605,339946,12,15,125,37.5,30,2025-01-17 06:40:16
173708251472794,173708251472794001,722,86198,428602,10,17,135,0,0,2025-01-17 02:59:49
173707876305111,173707876305111001,722,15605,428532,10,17,135,40.5,30,2025-01-17 01:53:49
173707972975148,173707972975148002,457,13829,454862,12,15,105,78.75,75,2025-01-17 02:44:16
173708265940106,173708265940106001,405,14162,421042,30,19,30,3,10,2025-01-17 02:57:42
173708258498841,173708258498841002,405,14162,421042,30,19,30,3,10,2025-01-17 02:56:27
173709473838297,173709473838297001,722,13928,339734,10,17,155,46.5,30,2025-01-17 06:19:05
173007788016007,173007788016007031,722,15605,428532,10,17,135,40.5,30,2025-01-17 02:55:20
173007788016007,173007788016007044,722,22584,428527,10,17,110,33,30,2025-01-17 02:55:19
173708845944935,173708845944935010,722,57039,339970,10,17,199,59.7,30,2025-01-17 04:40:10
173007788016007,173007788016007002,722,22584,428527,10,17,110,33,30,2024-11-25 11:16:41
173707964209553,173707964209553005,5960,57039,428558,517,541,195,0,0,2025-01-17 02:46:24
173708251158190,173708251158190002,405,14162,421042,30,19,30,3,10,2025-01-17 02:55:14
173709295756654,173709295756654002,457,57039,428557,12,15,199,59.7,30,2025-01-17 05:51:47
173708258498841,173708258498841001,405,14162,421042,30,19,30,3,10,2025-01-17 02:56:27
173708283279708,173708283279708001,405,14162,421042,30,19,30,3,10,2025-01-17 03:00:35
173708135312579,173708135312579001,405,14162,421042,30,19,30,3,10,2025-01-17 02:35:56
173707919788077,173707919788077001,722,70902,428568,10,17,135,40.5,30,2025-01-17 02:00:06
173484237243597,173484237243597017,722,13928,428463,10,17,165,49.5,30,2025-01-17 03:30:36
173708255235637,173708255235637002,405,14162,421042,30,19,30,3,10,2025-01-17 02:55:55
173708147978989,173708147978989002,405,14162,421042,30,19,30,3,10,2025-01-17 02:38:02
173707994566186,173707994566186002,5960,14162,421042,517,541,30,0,0,2025-01-17 02:40:46
173708300465411,173708300465411002,405,14162,421042,30,19,30,3,10,2025-01-17 03:03:27
