vt_group_no,transaction_id,hotel_id,hotel_name,reseller_id,channel_id_vt,reseller_name,ticket_id,ticketpriceschedule_id,version,order_confirm_date,saleprice,salepriceshouldbe,purchaseprice,museumfeeshouldbe,merchantcommission,merchantfeeshouldbe,distributorcommission,hotelfeeshouldbe,hgscommission,hgsfeeshouldbe,pricinglevel,modifiedshouldbe,commission_on_sale,is_resale_percentage,hotel_percentage,resale_percentage
173671541852419,173671541852419012R,5960,Evan Evans Tours Ltd CMS ,541,517,Evan Evans,15569,428494,2,2025-01-16 07:21:40,94,111,0,111,0,111,0,111,94,111,Nosetting,2022-02-22 22:22:22,111,111,111,111
173671541852419,173671541852419002R,5960,Evan Evans Tours Ltd CMS ,541,517,Evan Evans,15569,428494,2,2025-01-12 21:02:55,94,111,0,111,0,111,0,111,94,111,Nosetting,2022-02-22 22:22:22,111,111,111,111
173671541852419,173671541852419011R,5960,Evan Evans Tours Ltd CMS ,541,517,Evan Evans,15569,428494,2,2025-01-16 07:21:40,94,111,0,111,0,111,0,111,94,111,Nosetting,2022-02-22 22:22:22,111,111,111,111
173732613727514,173732613727514001R,5960,Evan Evans Tours Ltd CMS ,541,517,Evan Evans,15569,428494,1,2025-01-19 22:41:24,94,111,0,111,0,111,0,111,94,111,Nosetting,2022-02-22 22:22:22,111,111,111,111
173611383781348,173611383781348014R,5960,Evan Evans Tours Ltd CMS ,541,517,Evan Evans,15569,428494,1,2025-01-05 21:55:52,94,111,0,111,0,111,0,111,94,111,Nosetting,2022-02-22 22:22:22,111,111,111,111
173732613727514,173732613727514002R,5960,Evan Evans Tours Ltd CMS ,541,517,Evan Evans,15569,428494,1,2025-01-19 22:41:24,94,111,0,111,0,111,0,111,94,111,Nosetting,2022-02-22 22:22:22,111,111,111,111
173611383781348,173611383781348013R,5960,Evan Evans Tours Ltd CMS ,541,517,Evan Evans,15569,428494,1,2025-01-05 21:55:52,94,111,0,111,0,111,0,111,94,111,Nosetting,2022-02-22 22:22:22,111,111,111,111
173671541852419,173671541852419001R,5960,Evan Evans Tours Ltd CMS ,541,517,Evan Evans,15569,428494,2,2025-01-12 21:02:55,94,111,0,111,0,111,0,111,94,111,Nosetting,2022-02-22 22:22:22,111,111,111,111
173675819078770,173675819078770801R,8339,Flight Centre Ltd  (IH),541,830,Evan Evans,70971,0,2,2025-01-13 08:50:03,9.5,111,9.5,111,0,111,0,111,0,111,Nosetting,2022-02-22 22:22:22,111,111,111,111
173675819078770,173675819078770802R,8339,Flight Centre Ltd  (IH),541,830,Evan Evans,70971,0,2,2025-01-13 08:50:03,9.5,111,9.5,111,0,111,0,111,0,111,Nosetting,2022-02-22 22:22:22,111,111,111,111
173722190817168,173722190817168001R,5960,Evan Evans Tours Ltd CMS ,541,517,Evan Evans,23158,428479,1,2025-01-18 17:42:03,66,111,0,111,0,111,0,111,66,111,Nosetting,2022-02-22 22:22:22,111,111,111,111
