vt_group_no	transaction_id	hotel_id	ticket_id	ticketpriceschedule_id	channel_id	reseller_id	sale_price	Distributor_price	commission	client_provided_commission	percentage_from_level	commission_on_sale_from_level
173707385134787	173707385134787002R	722	13829	421823	10	17	115.00	0.00	0.00	25.00	25.00	1
173708203758137	173708203758137001R	457	60608	442003	12	15	99.00	24.75	25.00	25.00	111	11
173707425416008	173707425416008001R	457	13829	421827	12	15	105.00	0.00	0.00	25.00	25.00	1
173707972975148	173707972975148002R	457	13829	454862	12	15	105.00	78.75	75.00	25.00	111	11
173708203758137	173708203758137002R	457	60608	442003	12	15	99.00	24.75	25.00	25.00	111	11
173707385134787	173707385134787003R	722	13829	421823	10	17	115.00	0.00	0.00	25.00	25.00	1
173707972975148	173707972975148003R	457	13829	454863	12	15	95.00	71.25	75.00	25.00	111	11
173707425416008	173707425416008002R	457	13829	421827	12	15	105.00	0.00	0.00	25.00	25.00	1
173707385134787	173707385134787001R	722	13829	421823	10	17	115.00	0.00	0.00	25.00	25.00	1
173707972975148	173707972975148001R	457	13829	454862	12	15	105.00	78.75	75.00	25.00	111	11
